honourific_title,first_name,last_name,username,profile_URL,status,gender,political_affiliation,constituency,province_territory
NA,Brendan,Hanley,DrBrendanHanley,https://www.youtube.com/@DrBrendanHanley,Active,Man,Liberal,Yukon,Yukon
NA,Gabriel,Hardy,Gabriel_Hardy,https://www.youtube.com/@Gabriel_Hardy,Active,Man,Conservative,Montmorency—Charlevoix,Quebec
NA,Randy,Hoback,randyhobackmp,https://www.youtube.com/@randyhobackmp,Inactive,Man,Conservative,Prince Albert,Saskatchewan
NA,Corey,Hogan,CoreyHoganConfederation,https://www.youtube.com/@CoreyHoganConfederation,Active,Man,Liberal,Calgary Confederation,Alberta
NA,Kurt,Holman,KurtHolmanMP,https://www.youtube.com/@KurtHolmanMP,Active,Man,Conservative,London—Fanshawe,Ontario
NA,Anthony,Housefather,anthonyhousefather3734,https://www.youtube.com/@anthonyhousefather3734,Active,Man,Liberal,Mount Royal,Quebec
Hon.,Ahmed,Hussen,Hon.AhmedHussen,https://www.youtube.com/@Hon.AhmedHussen,Active,Man,Liberal,York South—Weston—Etobicoke,Ontario
NA,Angelo,Iacono,angeloiacono7193,https://www.youtube.com/@angeloiacono7193,Inactive,Man,Liberal,Alfred-Pellan,Quebec
NA,Lori,Idlout,loriidlout8929,https://www.youtube.com/@loriidlout8929,Inactive,Woman,NDP,Nunavut,Nunavut
NA,Grant,Jackson,GrantJacksonMP,https://www.youtube.com/@GrantJacksonMP,Active,Man,Conservative,Brandon—Souris,Manitoba
Hon.,Helena,Jaczek,dr.helenajaczekmp1559,https://www.youtube.com/@dr.helenajaczekmp1559,Active,Woman,Liberal,Markham—Stouffville,Ontario
NA,Tamara,Jansen,tamarajansenofficial,https://www.youtube.com/@tamarajansenofficial,Active,Woman,Conservative,Cloverdale—Langley City,British Columbia
NA,Matt,Jeneroux,mattjeneroux5579,https://www.youtube.com/@mattjeneroux5579,Inactive,Man,Conservative,Edmonton Riverbend,Alberta
NA,Jamil,Jivani,JamilJivaniMP,https://www.youtube.com/@JamilJivaniMP,Active,Man,Conservative,Bowmanville—Oshawa North,Ontario
NA,Gord,Johns,gordjohns6950,https://www.youtube.com/@gordjohns6950,Active,Man,NDP,Courtenay—Alberni,British Columbia
Hon.,Mélanie,Joly,melaniejoly7305,https://www.youtube.com/@melaniejoly7305,Inactive,Woman,Liberal,Ahuntsic-Cartierville,Quebec
NA,Arielle,Kayabaga,MPArielleKayabaga,https://www.youtube.com/@MPArielleKayabaga,Active,Woman,Liberal,London West,Ontario
NA,Mike,Kelloway,VoteMikeKelloway,https://www.youtube.com/@VoteMikeKelloway,Active,Man,Liberal,Sydney—Glace Bay,Nova Scotia
NA,Pat,Kelly,patkelly746,https://www.youtube.com/@patkelly746,Active,Man,Conservative,Calgary Crowfoot,Alberta
NA,Iqra,Khalid,iqrakhalid729,https://www.youtube.com/@iqrakhalid729,Inactive,Woman,Liberal,Mississauga—Erin Mills,Ontario
NA,Arpan,Khanna,arpan_khanna,https://www.youtube.com/@arpan_khanna,Active,Man,Conservative,Oxford,Ontario
NA,Jeff,Kibble,JeffKibbleCML,https://www.youtube.com/@JeffKibbleCML,Active,Man,Conservative,Cowichan—Malahat—Langford,British Columbia
NA,Rhonda,Kirkland,RhondaforOshawa,https://www.youtube.com/@RhondaforOshawa,Inactive,Woman,Conservative,Oshawa,Ontario
NA,Annie,Koutrakis,anniekoutrakis2525,https://www.youtube.com/@anniekoutrakis2525,Inactive,Woman,Liberal,Vimy,Quebec
NA,Michael,Kram,MichaelKramSK,https://www.youtube.com/@MichaelKramSK,Active,Man,Conservative,Regina—Wascana,Saskatchewan
NA,Shelby,Kramp-Neuman,shelbykramp-neumanmp,https://www.youtube.com/@shelbykramp-neumanmp,Active,Woman,Conservative,Hastings—Lennox and Addington—Tyendinaga,Ontario
NA,Tamara,Kronis,tamarakronis3204,https://www.youtube.com/@tamarakronis3204,Inactive,Woman,Conservative,Nanaimo—Ladysmith,British Columbia
NA,Ned,Kuruc,nedkurucMP,https://www.youtube.com/@nedkurucMP,Active,Man,Conservative,Hamilton East—Stoney Creek,Ontario
NA,Stephanie,Kusie,StephanieKusieMP,https://www.youtube.com/@StephanieKusieMP,Active,Woman,Conservative,Calgary Midnapore,Alberta
NA,Jenny,Kwan,jennykwanmp,https://www.youtube.com/@jennykwanmp,Active,Woman,NDP,Vancouver East,British Columbia
Hon.,Mike,Lake,mikelakeoffice,https://www.youtube.com/@mikelakeoffice,Inactive,Man,Conservative,Leduc—Wetaskiwin,Alberta
NA,Marie-France,Lalonde,Marie-FranceLalonde,https://www.youtube.com/@Marie-FranceLalonde,Active,Woman,Liberal,Orléans,Ontario
NA,Emmanuella,Lambropoulos,officialemmanuellalambropo1623,https://www.youtube.com/@officialemmanuellalambropo1623,Inactive,Woman,Liberal,Saint-Laurent,Quebec
NA,Kevin,Lamoureux,KevinLamoureuxMP,https://www.youtube.com/@KevinLamoureuxMP,Inactive,Man,Liberal,Winnipeg North,Manitoba
NA,Melissa,Lantsman,MelissaLantsman,https://www.youtube.com/@MelissaLantsman,Active,Woman,Conservative,Thornhill,Ontario
NA,Viviane,Lapointe,VivforSudbury,https://www.youtube.com/@VivforSudbury,Active,Woman,Liberal,Sudbury,Ontario
NA,Linda,Lapointe,lindalapointe9230,https://www.youtube.com/@lindalapointe9230,Inactive,Woman,Liberal,Rivière-des-Mille-Îles,Quebec
NA,Andréanne,Larouche,AndreanneLarouche-officiel,https://www.youtube.com/@AndreanneLarouche-officiel,Active,Woman,Bloc Québécois,Shefford,Quebec
NA,Stéphane,Lauzon,stephanelauzon7515,https://www.youtube.com/@stephanelauzon7515,Inactive,Man,Liberal,Argenteuil—La Petite-Nation,Quebec
NA,Philip,Lawrence,philiplawrenceCAN,https://www.youtube.com/@philiplawrenceCAN,Active,Man,Conservative,Northumberland—Clarke,Ontario
NA,Andrew,Lawton,andrewlawton,https://www.youtube.com/@andrewlawton,Active,Man,Conservative,Elgin—St. Thomas—London South,Ontario
Hon.,Dominic,LeBlanc,DominicLeblancMP,https://www.youtube.com/@DominicLeblancMP,Inactive,Man,Liberal,Beaus�jour,New Brunswick
NA,Sébastien,Lemire,sebastienlemire9488,https://www.youtube.com/@sebastienlemire9488,Inactive,Man,Bloc Québécois,Abitibi—Témiscamingue,Quebec
NA,Branden,Leslie,brandenleslie,https://www.youtube.com/@brandenleslie,Inactive,Man,Conservative,Portage—Lisgar,Manitoba
NA,Leslyn,Lewis,LeslynLewisMP,https://www.youtube.com/@LeslynLewisMP,Active,Woman,Conservative,Haldimand—Norfolk,Ontario
NA,Chris,Lewis,chrislewismpessex,https://www.youtube.com/@chrislewismpessex,Active,Man,Conservative,Essex,Ontario
NA,Joël,Lightbound,joellightbound8982,https://www.youtube.com/@joellightbound8982,Inactive,Man,Liberal,Louis-Hébert,Quebec
NA,Dane,Lloyd,danelloydmp4541,https://www.youtube.com/@danelloydmp4541,Active,Man,Conservative,Parkland,Alberta
NA,Ben,Lobb,benlobb9956,https://www.youtube.com/@benlobb9956,Inactive,Man,Conservative,Huron—Bruce,Ontario
NA,Wayne,Long,waynelong2815,https://www.youtube.com/@waynelong2815,Inactive,Man,Liberal,Saint John—Kennebecasis,New Brunswick
NA,Tim,Louis,timlouiskitcon,https://www.youtube.com/@timlouiskitcon,Active,Man,Liberal,Kitchener—Conestoga,Ontario
NA,Michael,Ma,MPMichaelMa,https://www.youtube.com/@MPMichaelMa,Active,Man,Conservative,Markham—Unionville,Ontario
NA,Shuvaloy,Majumdar,shuvmajumdar,https://www.youtube.com/@shuvmajumdar,Active,Man,Conservative,Calgary Heritage,Alberta
NA,Chris,Malette,ChrisMaletteforQuinteCampaign,https://www.youtube.com/@ChrisMaletteforQuinteCampaign,Active,Man,Liberal,Bay of Quinte,Ontario
NA,Elizabeth,May,VoteMay,https://www.youtube.com/@VoteMay,Active,Woman,Green Party,Saanich—Gulf Islands,British Columbia
NA,Dan,Mazier,danmazierMP,https://www.youtube.com/@danmazierMP,Inactive,Man,Conservative,Riding Mountain,Manitoba
NA,Kelly,McCauley,kellymccauley4850,https://www.youtube.com/@kellymccauley4850,Inactive,Man,Conservative,Edmonton West,Alberta
Hon.,David,McGuinty,davidmcguinty,https://www.youtube.com/@davidmcguinty,Inactive,Man,Liberal,Ottawa South,Ontario
NA,Jennifer,McKelvie,McKelvieAjax,https://www.youtube.com/@McKelvieAjax,Inactive,Woman,Liberal,Ajax,Ontario
NA,David,McKenzie,DMcKenzieCPC,https://www.youtube.com/@DMcKenzieCPC,Active,Man,Conservative,Calgary Signal Hill,Alberta
NA,Ron,McKinnon,ronmckinnonmp1442,https://www.youtube.com/@ronmckinnonmp1442,Inactive,Man,Liberal,Coquitlam—Port Coquitlam,British Columbia
NA,Greg,McLean,GregMcLeanYYC,https://www.youtube.com/@GregMcLeanYYC,Active,Man,Conservative,Calgary Centre,Alberta
NA,Heather,McPherson,heathermcpherson2548,https://www.youtube.com/@heathermcpherson2548,Active,Woman,NDP,Edmonton Strathcona,Alberta
NA,Eric,Melillo,mpericmelillo4622,https://www.youtube.com/@mpericmelillo4622,Inactive,Man,Conservative,Kenora—Kiiwetinoong,Ontario
NA,Alexandra,Mendès,AlexandraMendesMP,https://www.youtube.com/@AlexandraMendesMP,Inactive,Woman,Liberal,Brossard—Saint-Lambert,Quebec
NA,Costas,Menegakis,CostasMenegakisMP,https://www.youtube.com/@CostasMenegakisMP,Inactive,Man,Conservative,Aurora—Oak Ridges—Richmond Hill,Ontario
NA,Shannon,Miedema,Shannonmiedemamp,https://www.youtube.com/@Shannonmiedemamp,Active,Woman,Liberal,Halifax,Nova Scotia
Hon.,Marc,Miller,marcmillerdeputemp6978,https://www.youtube.com/@marcmillerdeputemp6978,Inactive,Man,Liberal,Ville-Marie—Le Sud-Ouest—Île-des-Soeurs,Quebec
NA,Rob,Morrison,robmorrisonmp9169,https://www.youtube.com/@robmorrisonmp9169,Active,Man,Conservative,Columbia—Kootenay—Southern Rockies,British Columbia
NA,Robert,Morrissey,robertmorrissey9534,https://www.youtube.com/@robertmorrissey9534,Inactive,Man,Liberal,Egmont,Prince Edward Island
NA,Glen,Motz,glenmotz1963,https://www.youtube.com/@glenmotz1963,Inactive,Man,Conservative,Medicine Hat—Cardston—Warner,Alberta
NA,Dan,Muys,DanMuysMP,https://www.youtube.com/@DanMuysMP,Active,Man,Conservative,Flamborough—Glanbrook—Brant North,Ontario
NA,Yasir,Naqvi,yasirnaqvimp,https://www.youtube.com/@yasirnaqvimp,Active,Man,Liberal,Ottawa Centre,Ontario
NA,John,Nater,JohnNaterMP,https://www.youtube.com/@JohnNaterMP,Active,Man,Conservative,Perth—Wellington,Ontario
NA,Chi,Nguyen,ElectChi,https://www.youtube.com/@ElectChi,Active,Woman,Liberal,Spadina—Harbourfront,Ontario
NA,Taleeb,Noormohamed,TaleebNoormohamed,https://www.youtube.com/@TaleebNoormohamed,Active,Man,Liberal,Vancouver Granville,British Columbia
NA,Christine,Normandin,christinenormandinBQ,https://www.youtube.com/@christinenormandinBQ,Inactive,Woman,Bloc Québécois,Saint-Jean,Quebec
NA,Bienvenu-Olivier,Ntumba,Bienvenu-OlivierNtumba,https://www.youtube.com/@Bienvenu-OlivierNtumba,Active,Man,Liberal,Mont-Saint-Bruno—L'Acadie,Quebec
NA,Dominique,O'Rourke,ORourkeforGuelph,https://www.youtube.com/@ORourkeforGuelph,Active,Woman,Liberal,Guelph,Ontario
Hon.,Robert,Oliphant,roboliphant5682,https://www.youtube.com/@roboliphant5682,Active,Man,Liberal,Don Valley West,Ontario
NA,Jeremy,Patzer,jeremypatzerm.p.3832,https://www.youtube.com/@jeremypatzerm.p.3832,Inactive,Man,Conservative,Swift Current—Grasslands—Kindersley,Saskatchewan
NA,Pierre,Paul-Hus,pierrepaul-hus5517,https://www.youtube.com/@pierrepaul-hus5517,Active,Man,Conservative,Charlesbourg—Haute-Saint-Charles,Quebec
NA,Yves,Perron,yvesperron3376,https://www.youtube.com/@yvesperron3376,Active,Man,Bloc Québécois,Berthier—Maskinongé,Quebec
Hon.,Ginette,Petitpas Taylor,ginettepetitpastaylor3020,https://www.youtube.com/@ginettepetitpastaylor3020,Inactive,Woman,Liberal,Moncton—Dieppe,New Brunswick
NA,Brad,Redekopp,bradredekopp4133,https://www.youtube.com/@bradredekopp4133,Active,Man,Conservative,Saskatoon West,Saskatchewan
NA,Scott,Reid,scottreidm.p.6868,https://www.youtube.com/@scottreidm.p.6868,Inactive,Man,Conservative,Lanark—Frontenac,Ontario
Hon.,Michelle,Rempel Garner,MichelleRempelGarner,https://www.youtube.com/@MichelleRempelGarner,Active,Woman,Conservative,Calgary Nose Hill,Alberta
NA,Blake,Richards,BlakeRichardsMP,https://www.youtube.com/@BlakeRichardsMP,Active,Man,Conservative,Airdrie—Cochrane,Alberta
NA,Anna,Roberts,AnnaRobertsCPC,https://www.youtube.com/@AnnaRobertsCPC,Active,Woman,Conservative,King—Vaughan,Ontario
NA,Gregor,Robertson,gregor.robertson,https://www.youtube.com/@gregor.robertson,Active,Man,Liberal,Vancouver Fraserview—South Burnaby,British Columbia
NA,Pauline,Rochefort,paulinerochefort17,https://www.youtube.com/@paulinerochefort17,Active,Woman,Liberal,Nipissing—Timiskaming,Ontario
NA,Lianne,Rood,Lianne_Rood,https://www.youtube.com/@Lianne_Rood,Active,Woman,Conservative,Middlesex—London,Ontario
NA,Ellis,Ross,EllisRossSBV,https://www.youtube.com/@EllisRossSBV,Active,Man,Conservative,Skeena—Bulkley Valley,British Columbia
NA,Zoe,Royer,zoeroyerCanada,https://www.youtube.com/@zoeroyerCanada,Active,Woman,Liberal,Port Moody—Coquitlam,British Columbia
NA,Alex,Ruff,alexruffbruce-grey-owensou5888,https://www.youtube.com/@alexruffbruce-grey-owensou5888,Active,Man,Conservative,Bruce—Grey—Owen Sound,Ontario
Hon.,Ruby,Sahota,RubySahotaLib,https://www.youtube.com/@RubySahotaLib,Active,Woman,Liberal,Brampton North—Caledon,Ontario
NA,Gurbux,Saini,gurbuxsainimp,https://www.youtube.com/@gurbuxsainimp,Active,Man,Liberal,Fleetwood—Port Kells,British Columbia
NA,Randeep,Sarai,randeepsarai1619,https://www.youtube.com/@randeepsarai1619,Active,Man,Liberal,Surrey Centre,British Columbia
NA,Abdelhaq,Sari,abdelhaqSari2611,https://www.youtube.com/@abdelhaqSari2611,Active,Man,Liberal,Bourassa,Quebec
NA,Simon-Pierre,Savard-Tremblay,simon-pierresavard-trembla6576,https://www.youtube.com/@simon-pierresavard-trembla6576,Active,Man,Bloc Québécois,Saint-Hyacinthe—Bagot—Acton,Quebec
NA,Francis,Scarpaleggia,FrancisScarpaleggia,https://www.youtube.com/@FrancisScarpaleggia,Inactive,Man,Liberal,Lac-Saint-Louis,Quebec
Hon.,Andrew,Scheer,AndrewScheerMP,https://www.youtube.com/@AndrewScheerMP,Active,Man,Conservative,Regina—Qu'Appelle,Saskatchewan
NA,Peter,Schiefke,peterschiefke8350,https://www.youtube.com/@peterschiefke8350,Inactive,Man,Liberal,Vaudreuil,Quebec
NA,Jamie,Schmale,jamieschmale7251,https://www.youtube.com/@jamieschmale7251,Active,Man,Conservative,Haliburton—Kawartha Lakes,Ontario
NA,Kyle,Seeback,kyleseeback,https://www.youtube.com/@kyleseeback,Active,Man,Conservative,Dufferin—Caledon,Ontario
Hon.,Judy,Sgro,JudySgroMP-mt2mx,https://www.youtube.com/@JudySgroMP-mt2mx,Inactive,Woman,Liberal,Humber River-Black Creek,Ontario
NA,Terry,Sheehan,terrysheehanmp9296,https://www.youtube.com/@terrysheehanmp9296,Inactive,Man,Liberal,Sault Ste. Marie—Algoma,Ontario
NA,Doug,Shipley,DougShipleyBSOM,https://www.youtube.com/@dougshipley6122,Active,Man,Conservative,Barrie—Springwater—Oro-Medonte,Ontario
NA,Sonia,Sidhu,soniasidhu3876,https://www.youtube.com/@soniasidhu3876,Inactive,Woman,Liberal,Brampton South,Ontario
NA,Mario,Simard,mariosimard2821,https://www.youtube.com/@mariosimard2821,Inactive,Man,Bloc Québécois,Jonquière,Quebec
NA,Charles,Sousa,charlessousa8149,https://www.youtube.com/@charlessousa8149,Inactive,Man,Liberal,Mississauga—Lakeshore,Ontario
NA,Gabriel,Ste-Marie,gabrielste-marie4852,https://www.youtube.com/@gabrielste-marie4852,Inactive,Man,Bloc Québécois,Joliette—Manawan,Quebec
NA,Warren,Steinley,warrensteinley6325,https://www.youtube.com/@warrensteinley6325,Inactive,Man,Conservative,Regina—Lewvan,Saskatchewan
NA,William,Stevenson,WilliamStevensonMP,https://www.youtube.com/@WilliamStevensonMP,Active,Man,Conservative,Yellowhead,Alberta
NA,Mark,Strahl,markstrahl,https://www.youtube.com/@markstrahl,Inactive,Man,Conservative,Chilliwack—Hope,British Columbia
NA,Shannon,Stubbs,shannonstubbsmp,https://www.youtube.com/@shannonstubbsmp,Active,Woman,Conservative,Lakeland,Alberta
Hon.,Jenna,Sudds,Jenna-Sudds,https://www.youtube.com/@Jenna-Sudds,Inactive,Woman,Liberal,Kanata,Ontario
NA,Kristina,Tesser Derksen,VoteKristinaTesserDerkson,https://www.youtube.com/@VoteKristinaTesserDerkson,Active,Woman,Liberal,Milton East—Halton Hills South,Ontario
NA,Luc,Thériault,luctheriaultdeputedemontca8635,https://www.youtube.com/@luctheriaultdeputedemontca8635,Inactive,Man,Bloc Québécois,Montcalm,Quebec
NA,Rachael,Thomas,RachaelThomasMP,https://www.youtube.com/@RachaelThomasMP,Inactive,Woman,Conservative,Lethbridge,Alberta
NA,Joanne,Thompson,JoanneThompsonNL,https://www.youtube.com/@JoanneThompsonNL,Active,Woman,Liberal,St. John's East,Newfoundland and Labrador
NA,Fraser,Tolmie,frasertolmiemp,https://www.youtube.com/@frasertolmiemp,Inactive,Man,Conservative,Moose Jaw—Lake Centre—Lanigan,Saskatchewan
NA,Ryan,Turnbull,MPRyanTurnbullWhitby,https://www.youtube.com/@MPRyanTurnbullWhitby,Active,Man,Liberal,Whitby,Ontario
NA,Tim,Uppal,TimUppal,https://www.youtube.com/@TimUppal,Active,Man,Conservative,Edmonton Gateway,Alberta
Hon.,Rechie,Valdez,rechieaileenvaldez,https://www.youtube.com/@rechieaileenvaldez,Active,Woman,Liberal,Mississauga—Streetsville,Ontario
NA,Adam,Van Koeverden,adamvankoeverden3357,https://www.youtube.com/@adamvankoeverden3357,Inactive,Man,Liberal,Burlington North—Milton West,Ontario
NA,Tako,Van Popta,takovanpopta5811,https://www.youtube.com/@takovanpopta5811,Inactive,Man,Conservative,Langley Township—Fraser Heights,British Columbia
NA,Anita,Vandenbeld,AnitaVandenbeldMP,https://www.youtube.com/@AnitaVandenbeldMP,Active,Woman,Liberal,Ottawa West—Nepean,Ontario
NA,Arnold,Viersen,arnoldviersen3180,https://www.youtube.com/@arnoldviersen3180,Active,Man,Conservative,Peace River—Westlock,Alberta
NA,Brad,Vis,BradVisMP,https://www.youtube.com/@BradVisMP,Active,Man,Conservative,Mission—Matsqui—Abbotsford,British Columbia
NA,Cathay,Wagantall,CathayWagantallMP,https://www.youtube.com/@CathayWagantallMP,Active,Woman,Conservative,Yorkton—Melville,Saskatchewan
NA,Chris,Warkentin,chriswarkentin,https://www.youtube.com/@chriswarkentin,Active,Man,Conservative,Grande Prairie,Alberta
NA,Kevin,Waugh,kevinwaugh9637,https://www.youtube.com/@kevinwaugh9637,Inactive,Man,Conservative,Saskatoon South,Saskatchewan
NA,Patrick,Weiler,patrickweilermp,https://www.youtube.com/@patrickweilermp,Active,Man,Liberal,West Vancouver—Sunshine Coast—Sea to Sky Country,British Columbia
Hon.,Jonathan,Wilkinson,jonathanwilkinson2677,https://www.youtube.com/@jonathanwilkinson2677,Inactive,Man,Liberal,North Vancouver—Capilano,British Columbia
NA,John,Williamson,johnwilliamsonmp,https://www.youtube.com/@johnwilliamsonmp,Active,Man,Conservative,Saint John—St. Croix,New Brunswick
NA,Jean,Yip,jeanyip8825,https://www.youtube.com/@jeanyip8825,Active,Woman,Liberal,Scarborough—Agincourt,Ontario
NA,Salma,Zahid,SalmaZahid15,https://www.youtube.com/@SalmaZahid15,Active,Woman,Liberal,Scarborough Centre—Don Valley East,Ontario
NA,Bob,Zimmer,BobZimmerMP,https://www.youtube.com/@BobZimmerMP,Active,Man,Conservative,Prince George—Peace River—Northern Rockies,British Columbia
NA,Sameer,Zuberi,sameerzuberi6087,https://www.youtube.com/@sameerzuberi6087,Inactive,Man,Liberal,Pierrefonds—Dollard,Quebec
