honorific_title,first_name,last_name,username,profile_URL,status,gender,political_affiliation,constituency,province_territory
NA,Ziad,Aboultaif,ziadaboultaif8623,https://www.youtube.com/@ziadaboultaif8623,Active,Man,Conservative,Edmonton Manning,Alberta
NA,Scott,Aitchison,votescott,https://www.youtube.com/@votescott,Active,Man,Conservative,Parry Sound-Muskoka,Ontario
NA,Dan,Albas,danalbas,https://www.youtube.com/@danalbas,Active,Man,Conservative,Central Okanagan-Similkameen-Nicola,British Columbia
Hon.,Omar,Alghabra,omaralghabra,https://www.youtube.com/@omaralghabra,Inactive,Man,Liberal,Mississauga Centre,Ontario
NA,Shafqat,Ali,shafqatalimp,https://www.youtube.com/@shafqatalimp,Active,Man,Liberal,Brampton Centre,Ontario
NA,Dean,Allison,allisd8,https://www.youtube.com/@allisd8,Inactive,Man,Conservative,Niagara West,Ontario
Hon.,Gary,Anandasangaree,garyanandasangaree2270,https://www.youtube.com/@garyanandasangaree2270,Inactive,Man,Liberal,Scarborough-Rouge Park,Ontario
NA,Charlie,Angus,charlieangus,https://www.youtube.com/@charlieangus,Active,Man,NDP,Timmins-James Bay,Ontario
NA,Mel,Arnold,melarnold2150,https://www.youtube.com/@melarnold2150,Active,Man,Conservative,North Okanagan-Shuswap,British Columbia
NA,Chandra,Arya,aryacanada,https://www.youtube.com/@aryacanada,Active,Man,Liberal,Nepean,Ontario
NA,Niki,Ashton,nikiashtonndp,https://www.youtube.com/@nikiashtonndp,Active,Woman,NDP,Churchill-Keewatinook Aski,Manitoba
NA,Jenica,Atwin,jenicaatwin2480,https://www.youtube.com/@jenicaatwin2480,Active,Woman,Liberal,Fredericton,New Brunswick
NA,Taylor,Bachrach,taylorbachrachndp2669,https://www.youtube.com/@taylorbachrachndp2669,Active,Man,NDP,Skeena-Bulkley Valley,British Columbia
NA,Vance,Badawey,vancebadawey3163,https://www.youtube.com/@vancebadawey3163,Inactive,Man,Liberal,Niagara Centre,Ontario
NA,Yvan,Baker,yvanbaker937,https://www.youtube.com/@yvanbaker937,Inactive,Man,Liberal,Etobicoke Centre,Ontario
NA,Tony,Baldinelli,tonybaldinelli7468,https://www.youtube.com/@tonybaldinelli7468,Inactive,Man,Conservative,Niagara Falls,Ontario
NA,Xavier,Barasalou-Duval,xavierbarsalou-duval9473,https://www.youtube.com/@xavierbarsalou-duval9473,Active,Man,Bloc Québécois,Pierre-Boucher-Les Patriotes-Verchères,Quebec
NA,John,Barlow,JohnBarlowMP,https://www.youtube.com/@JohnBarlowMP,Active,Man,Conservative,Foothills,Alberta
NA,Michael,Barrett,MikeBarrettON,https://www.youtube.com/@MikeBarrettON,Active,Man,Conservative,Leeds-Grenville-Thousand Islands and Rideau Lakes,Ontario
NA,Jaime,Battiste,reelectjaimebattiste3855,https://www.youtube.com/@jaimebattiste9161,Inactive,Man,Liberal,Sydney-Victoria,Nova Scotia
NA,Mario,Beaulieu,mariobeaulieu5507,https://www.youtube.com/@mariobeaulieu5507,Inactive,Man,Bloc Québécois,La Pointe-de-l'Île,Quebec
Hon.,Terry,Beech,terrybeech,https://www.youtube.com/@terrybeech,Active,Man,Liberal,Burnaby North-Seymour,British Columbia
NA,Rachel,Bendayan,rachelbendayan1312,https://www.youtube.com/@rachelbendayan1312,Inactive,Woman,Liberal,Outremont,Quebec
NA,Stéphane,Bergeron,stephanebergeronmontarvill9298,https://www.youtube.com/@stephanebergeronmontarvill9298,Active,Man,Bloc Québécois,Montarville,Quebec
NA,Luc,Berthold,MairieTM,https://www.youtube.com/@MairieTM,Inactive,Man,Conservative,Megantic-L'erable,Quebec
NA,James,Bezan,jamesbezan,https://www.youtube.com/@jamesbezan,Active,Man,Conservative,Selkirk-Interlake-Eastman,Manitoba
Hon.,Marie-Claude,Bibeau,bureaudelhonorablemarie-cl827,https://www.youtube.com/@bureaudelhonorablemarie-cl827,Inactive,Woman,Liberal,Compton-Stanstead,Quebec
Hon.,Bill,Blair,billblairmp5321,https://www.youtube.com/@billblairmp5321,Inactive,Man,Liberal,Scarborough Southwest,Ontario
NA,Yves-François,Blanchet,yves-francoisblanchet2936,https://www.youtube.com/@yves-francoisblanchet2936,Inactive,Man,Bloc Québécois,Beloeil-Chambly,Quebec
NA,Maxime,Blanchette Joncas,MBJDepute,https://www.youtube.com/@MBJDepute,Active,Man,Bloc Québécois,Rimouski-Neigette-Temiscouata-Les Basques,Quebec
NA,Rachel,Blaney,rachelblaneyMP,https://www.youtube.com/@rachelblaneyMP,Active,Woman,NDP,North Island-Powell River,British Columbia
NA,Kelly,Block,MPKellyBlock,https://www.youtube.com/@kellyBloc Québécoiskmp5459,Inactive,Woman,Conservative,Carlton Trail-Eagle Creek,Saskatchewan
NA,Kody,Blois,kodyblois6484,https://www.youtube.com/@kodyblois6484,Inactive,Man,Liberal,Kings-Hants,Nova Scotia
Hon.,Randy,Boissonnault,r_boissonnault,https://www.youtube.com/@r_boissonnault,Active,Man,Liberal,Edmonton Centre,Alberta
NA,Alexandre,Boulerice,RosemontNPD,https://www.youtube.com/@RosemontNPD,Active,Man,NDP,Rosemont-La Petite-Patrie,Quebec
NA,Valerie,Bradford,valeriebradfordmp6426,https://www.youtube.com/@valeriebradfordmp6426,Inactive,Woman,Liberal,Kitchener South-Hespeler,Ontario
NA,Richard,Bragdon,richardbragdonmp,https://www.youtube.com/@richardbragdonmp,Inactive,Man,Conservative,Tobique-Mactaquac,New Brunswick
NA,John,Brassard,johnbrassardcpc5357,https://www.youtube.com/@johnbrassardcpc5357,Active,Man,Conservative,Barrie-Innisfil,Ontario
NA,Élisabeth,Brière,elisabethbrieredeputeefede2534,https://www.youtube.com/@elisabethbrieredeputeefede2534,Inactive,Woman,Liberal,Sherbrooke,Quebec
NA,Larry,Brock,LarryBrockMP,https://www.youtube.com/@LarryBrockMP,Active,Man,Conservative,Brantford-Brant,Ontario
NA,Blaine,Calkins,blainecalkinsmp,https://www.youtube.com/@blainecalkinsmp,Inactive,Man,Conservative,Red Deer-Lacombe,Alberta
NA,Richard,Cannings,richardcannings354,https://www.youtube.com/@richardcannings354,Inactive,Man,NDP,South Okanagan-West Kootenay,British Columbia
NA,Frank,Caputo,FrankCaputoMP,https://www.youtube.com/@FrankCaputoMP,Active,Man,Conservative,Kamloops-Thompson-Cariboo,British Columbia
NA,Benn,Carr,MPBenCarr,https://www.youtube.com/@MPBenCarr,Active,Man,Liberal,Winnipeg South Centre,Manitoba
NA,Colin,Carrie,ColinCarrie,https://www.youtube.com/@ColinCarrie,Inactive,Man,Conservative,Oshawa,Ontario
NA,Sean,Casey,SeanCaseyMP,https://www.youtube.com/@SeanCaseyMP,Inactive,Man,Liberal,Charlottetown,Prince Edward Island
NA,Louise,Chabot,louisechabot1216,https://www.youtube.com/@louisechabot1216,Active,Woman,Bloc Québécois,Therèse-De Blainville,Quebec
Hon.,Bardish,Chagger,bardishchagger3608,https://www.youtube.com/@bardishchagger3608,Inactive,Woman,Liberal,Waterloo,Ontario
NA,George,Chahal,chahalgeorge,https://www.youtube.com/@chahalgeorge,Active,Man,Liberal,Calgary Skyview,Alberta
NA,Adam,Chambers,adamchambersmpsimcoenorth2247,https://www.youtube.com/@adamchambersmpsimcoenorth2247,Active,Man,Conservative,Simcoe North,Ontario
Hon.,François-Philipe,Champagne,francois-philippechampagne971,https://www.youtube.com/@fpchampagne,Inactive,Man,Liberal,Saint-Maurice-Champlain,Quebec
NA,Martin,Champoux,martinchampouxbq,https://www.youtube.com/@martinchampouxbq,Active,Man,Bloc Québécois,Drummond,Quebec
NA,Sophie,Chatel,sophiechatel-pontiac3449,https://www.youtube.com/@sophiechatel-pontiac3449,Active,Woman,Liberal,Pontiac,Quebec
NA,Shaun,Chen,ShaunChenMP,https://www.youtube.com/@ShaunChenMP,Active,Man,Liberal,Scarborough North,Ontario
Hon.,Michael,Chong,michaelchongmp,https://www.youtube.com/@michaelchongmp,Active,Man,Conservative,Wellington-Halton Hills,Ontario
NA,Laurel,Collins,laurelcollins9484,https://www.youtube.com/@laurelcollins9484,Active,Woman,NDP,Victoria,British Columbia
NA,Michael,Cooper,MichaelCooperMP,https://www.youtube.com/@MichaelCooperMP,Active,Man,Conservative,St. Albert-Edmonton,Alberta
NA,Serge,Cormier,sergecormierm.p.depute9635,https://www.youtube.com/@sergecormierm.p.depute9635,Inactive,Man,Liberal,Acadie-Bathurst,New Brunswick
NA,Michael,Coteau,MichaelCoteauMP,https://www.youtube.com/@MichaelCoteauMP,Active,Man,Liberal,Don Valley East,Ontario
NA,Chris,d'Entremont,chrisdentremontmp5648,https://www.youtube.com/@chrisdentremontmp5648,Inactive,Man,Conservative,West Nova,Nova Scotia
NA,Julie,Dabrusin,juliedabrusin9420,https://www.youtube.com/@juliedabrusin9420,Active,Woman,Liberal,Toronto-Danforth,Ontario
NA,Marc,Dalton,marcdaltonmp,https://www.youtube.com/@marcdaltonmp,Active,Man,Conservative,Pitt Meadows-Maple Ridge,British Columbia
NA,Pam,Damoff,PamDamoffMP,https://www.youtube.com/@PamDamoffMP,Inactive,Woman,Liberal,Oakville North-Burlington,Ontario
NA,Raquel,Dancho,RaquelDanchoMP,https://www.youtube.com/@RaquelDanchoMP,Active,Woman,Conservative,Kildonan-St. Paul,Manitoba
NA,Scot,Davidson,ScotDavidsonMP,https://www.youtube.com/@ScotDavidsonMP,Active,Man,Conservative,York-Simcoe,Ontario
NA,Don,Davies,dondaviesndp,https://www.youtube.com/@dondaviesndp,Active,Man,NDP,Vancouver Kingsway,British Columbia
NA,Claude,DeBellefeuille,claudedebellefeuilleBQ,https://www.youtube.com/@claudedebellefeuilleBQ,Active,Woman,Bloc Québécois,Salaberry-Suroît,Quebec
NA,Caroline,Desbiens,carolinedesbiens3595,https://www.youtube.com/@carolinedesbiens3595,Inactive,Woman,Bloc Québécois,Beauport-Côte-de-Beaupre-Île d'Orleans-Charlevoix,
NA,Luc,Desilets,lucdesiletsbq,https://www.youtube.com/@lucdesiletsbq,Active,Man,Bloc Québécois,Rivière-des-Mille-Îles,Quebec
NA,Blake,Desjarlais,MPblakedesjarlais,https://www.youtube.com/@MPblakedesjarlais,Inactive,Man,NDP,Edmonton Griesbach,Alberta
NA,Gérard,Detell,gerarddeltell-deputedeloui7987,https://www.youtube.com/@gerarddeltell-deputedeloui7987,Inactive,Man,Conservative,Louis-Saint-Laurent,Quebec
NA,Sukh,Dhaliwal,sukhdhaliwal1354,https://www.youtube.com/@sukhdhaliwal1354,Inactive,Man,Liberal,Surrey-Newton,British Columbia
NA,Lena Metlege ,Diab,mlalenametlegediab1754,https://www.youtube.com/@mlalenametlegediab1754,Inactive,Woman,Liberal,Halifax West,Nova Scotia
NA,Majid,Djowhari,mpjowhari,https://www.youtube.com/@mpjowhari,Inactive,Man,Liberal,Richmond Hill,Ontario
NA,Todd,Doherty,todddohertymp389,https://www.youtube.com/@todddohertymp389,Inactive,Man,Conservative,Cariboo-Prince George,British Columbia
NA,Han,Dong,handongmp4432,https://www.youtube.com/@handongmp4432,Inactive,Man,Independent,Don Valley North,Ontario
NA,Earl,Dreeshen,earldreeshen9773,https://www.youtube.com/@earldreeshen9773,Inactive,Man,Conservative,Red Deer-Mountain View,Alberta
NA,Francis,Drouin,mpfrancisdrouindepute9407,https://www.youtube.com/@mpfrancisdrouindepute9407,Inactive,Man,Liberal,Glengarry-Prescott-Russell,Ontario
NA,Emmanuel,Dubourg,emmanueldubourg4736,https://www.youtube.com/@emmanueldubourg4736,Active,Man,Liberal,Bourassa,Quebec
Hon.,Jean-Yves,Duclos,jean-yvesduclosdeputedeque9893,https://www.youtube.com/@jean-yvesduclosdeputedeque9893,Inactive,Man,Liberal,Quebec,Quebec
Hon.,Kirsty,Duncan,KirstyDuncanMP,https://www.youtube.com/@KirstyDuncanMP,Inactive,Woman,Liberal,Etobicoke North,Ontario
NA,Eric,Duncan,EricDuncanSDSG,https://www.youtube.com/@EricDuncanSDSG,Active,Man,Conservative,Stormont-Dundas-South Glengarry,Ontario
NA,Julie,Dzerowicz,juliedzerowiczMP,https://www.youtube.com/@juliedzerowiczMP,Active,Woman,Liberal,Davenport,Ontario
NA,Ali,Ehsassi,aliehsassim.p.7287,https://www.youtube.com/@aliehsassim.p.7287,Inactive,Man,Liberal,Willowdale,Ontario
NA,Fayçal,El-Khoury,faycalel-khourymp7701,https://www.youtube.com/@faycalel-khourymp7701,Inactive,Man,Liberal,Laval-Les Îles,Quebec
NA,Stephen,Ellis,Dr.StephenEllisMP,https://www.youtube.com/@Dr.StephenEllisMP,Active,Man,Conservative,Cumberland-Colchester,Nova Scotia
NA,Dave,Epp,daveepp8422,https://www.youtube.com/@daveepp8422,Inactive,Man,Conservative,Chatham-Kent-Leamington,Ontario
NA,Nathaniel,Erskine-Smith,beynate,https://www.youtube.com/@beynate,Active,Man,Liberal,Beaches-East York,Ontario
NA,Ted,Falk,tedfalk6090,https://www.youtube.com/@tedfalk6090,Active,Man,Conservative,Provencher,Manitoba
NA,Rosemarie,Falk,RosemarieFalk-MP,https://www.youtube.com/@RosemarieFalk-MP,Active,Woman,Conservative,Battlefords-Lloydminster,Saskatchewan
Hon.,Ed,Fast,hon.edfast9103,https://www.youtube.com/@hon.edfast9103,Inactive,Man,Conservative,Abbotsford,British Columbia
Hon.,Greg,Fergus,gregfergus1714,https://www.youtube.com/@gregfergus1714,Inactive,Man,Liberal,Hull-Aylmer,Quebec
NA,Michelle,Ferreri,MichelleFerreriMP,https://www.youtube.com/@MichelleFerreriMP,Active,Woman,Conservative,Peterborough-Kawartha,Ontario
Hon.,Kerry-Lynne,Findlay,kerry-lynnefindlay1932,https://www.youtube.com/@kerry-lynnefindlay1932,Active,Woman,Conservative,South Surrey-White Rock,British Columbia
NA,Darren,Fisher,darrenfishermp-dartmouthco7545,https://www.youtube.com/@darrenfishermp-dartmouthco7545,Inactive,Man,Liberal,Dartmouth-Cole Harbour,Nova Scotia
NA,Peter,Fonseca,peterfonsecamp5019,https://www.youtube.com/@peterfonsecamp5019,Inactive,Man,Liberal,Mississauga East-Cooksville,Ontario
Hon.,Mona,Fortier,MPMonaFortier,https://www.youtube.com/@MPMonaFortier,Inactive,Woman,Liberal,Ottawa-Vanier,Ontario
NA,Peter,Fragiskatos,peterfragiskatos-londonnor6314,https://www.youtube.com/@peterfragiskatos-londonnor6314,Inactive,Man,Liberal,London North Centre,Ontario
Hon.,Sean,Fraser,Sean_Fraser,https://www.youtube.com/@Sean_Fraser,Active,Man,Liberal,Central Nova,Nova Scotia
Hon.,Chrystia,Freeland,chrystiafreeland,https://www.youtube.com/@chrystiafreeland,Inactive,Woman,Liberal,University-Rosedale,Ontario
Hon.,Hedy,Fry,HedyFry,https://www.youtube.com/@HedyFry,Active,Woman,Liberal,Vancouver Centre,British Columbia
NA,Iqwinder,Gaheer,iqwindersgaheer,https://www.youtube.com/@iqwindersgaheer,Inactive,Man,Liberal,Mississauga-Malton,Ontario
NA,Cheryl,Gallant,CherylGallantMP,https://www.youtube.com/@CherylGallantMP,Active,Woman,Conservative,Renfrew-Nipissing-Pembroke,Ontario
NA,Jean-Denis,Garon,jean-denisgaron-candidatda4574,https://www.youtube.com/@jean-denisgaron-candidatda4574,Inactive,Man,Bloc Québécois,Mirabel,Quebec
NA,Randall,Garrison,randallgarrison7999,https://www.youtube.com/@randallgarrison7999,Inactive,Man,NDP,Esquimalt-Saanich-Sooke,British Columbia
NA,Marie-Hélèn,Gaudreau,mhgaudreaubq,https://www.youtube.com/@mhgaudreaubq,Active,Woman,Bloc Québécois,Laurentides-Labelle,Quebec
NA,Leah,Gazan,leahgazanmpwinnipegcentre2892,https://www.youtube.com/@leahgazanmpwinnipegcentre2892,Active,Woman,NDP,Winnipeg Centre,Manitoba
NA,Bernard,Genereux,genereux.bernard,https://www.youtube.com/@genereux.bernard,Active,Man,Conservative,Montmagny-L'Islet-Kamouraska-Rivière-du-Loup,Quebec
NA,Garnett,Genuis,garnettgenuismp,https://www.youtube.com/@garnettgenuismp,Active,Man,Conservative,Sherwood Park-Fort Saskatchewan,Alberta
NA,Mark,Gerretsen,MPMarkGerretsen,https://www.youtube.com/@MPMarkGerretsen,Active,Man,Liberal,Kingston and the Islands,Ontario
